OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Ankenævnskendelse skybrud.aspx;Ankenævnskendelse skybrud.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning;False;Error
Ankenævnskendelse kosmetisk skade.aspx;Ankenævnskendelse kosmetisk skade.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse regres mod byggesagkyndig.aspx;Ankenævnskendelse regres mod byggesagkyndig.aspx;Ankenævnskendelse ;Afsnit 11: Råd og Svamp og Afsnit 12: Insekter;Bygning;False;Error
Ankenævnskendelse svamp i stråtag.aspx;Ankenævnskendelse svamp i stråtag.aspx;Ankenævnskendelse;Afsnit 11: Råd og Svamp;Bygning;False;Error
Ankenævnskendelse Advokatbistand - Arkitektbistand.aspx;Ankenævnskendelse Advokatbistand - Arkitektbistand.aspx;Ankenævnskendelse;Advokatbistand - Arkitektbistand;Bygning;False;Error
Ankenævnskendelse anvendte materialer dyrere end de beskadigede.aspx;Ankenævnskendelse anvendte materialer dyrere end de beskadigede.aspx;Ankenævnskendelse;Erstatningens størrelse - FAL 39 og Afsnit 1.H: Nyværdi i vilkårene;Bygning;False;Error
Ankenævnskendelse dokumentation.aspx;Ankenævnskendelse dokumentation.aspx;Ankenævnskendelse ;Dokumentation;Bygning;False;Error
Ankenævnskendelse reklamation.aspx;Ankenævnskendelse reklamation.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse vandafgift.aspx;Ankenævnskendelse vandafgift.aspx;Ankenævnskendelse;Afsnit 4: Tyveri og hærværk - følgeskade;Bygning;False;Error
Ankenævnskendelse vådrumssikring - vådrumsmembran.aspx;Ankenævnskendelse vådrumssikring - vådrumsmembran.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger og 10 Skjulte rør og Kabler;Bygning;False;Error
Ankenævnskendelse skimmelsvamp.aspx;Ankenævnskendelse skimmelsvamp.aspx;Ankenævnskendelse;Afsnit 11: Råd og Svamp;Bygning;False;Error
Ankenævnskendelse kunstnerisk udsmykning.aspx;Ankenævnskendelse kunstnerisk udsmykning.aspx;Ankenævnskendelse ;Række f: Kunstnerisk udsmykning;Bygning;False;Error
Dom vedrørende dagsværdierstatning for sommerhus.aspx;Dom vedrørende dagsværdierstatning for sommerhus.aspx;Ankenævnskendelse;Afskrivning - sommerhusvilkår;Bygning;False;Error
Ankenævnskendelse følgeskade efter brand.aspx;Ankenævnskendelse følgeskade efter brand.aspx;Ankenævnskendelse;Brand;Bygning;False;Error
Ankenævnskendelse forbehold og opsigelser.aspx;Ankenævnskendelse forbehold og opsigelser.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse svamp i flagstang.aspx;Ankenævnskendelse svamp i flagstang.aspx;Ankenævnskendelse;Afsnit 11: Råd ogSvamp;Bygning;False;Error
Ankenævnskendelse konkurrerende skadeårsager.aspx;Ankenævnskendelse konkurrerende skadeårsager.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse daglig brug, ridser, skrammer.aspx;Ankenævnskendelse daglig brug, ridser, skrammer.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Opstigning af grund- og kloakvand.aspx;BygningOpstigning af grund- og kloakvand.aspx;Ankenævnskendelse;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning;True;Error
Ankenævnskendelse dækning på forsikringsstedet.aspx;Ankenævnskendelse dækning på forsikringsstedet.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning;False;Error
Ankenævnskendelse fareforøgelse.aspx;Ankenævnskendelse fareforøgelse.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse - sætning og tæring.aspx;Ankenævnskendelse - sætning og tæring.aspx;Ankenævnskendelse;Afsnit 7 Pludselig skade;Bygning;False;Error
